camp,community,community_size,mean_compound,pct_negative,active_users
denial,350,2,-0.5202675983333334,0.8333333333333333,2
denial,351,2,-0.6193942000000001,1.0,2
denial,352,2,-0.2825903795,0.25,2
denial,353,2,-0.3031967383333333,0.0,2
denial,354,2,-0.8309182125,1.0,2
denial,355,2,-0.2838951585,0.25,2
denial,356,2,-0.5068254325,0.6666666666666666,2
denial,357,2,-0.03406494575000002,0.25,2
denial,358,2,-0.282793995,0.5,2
denial,359,2,-0.23788951749999998,0.3333333333333333,2
denial,361,2,-0.5080648237500001,1.0,2
denial,362,2,-0.46571804525,0.5,2
denial,363,2,-0.06225712116666668,0.0,2
denial,365,2,-0.5100807700000001,0.5,2
denial,367,2,-0.07766878999999999,0.25,2
denial,368,2,-0.35224402499999996,0.25,1
denial,372,2,-0.495450985,0.5,2
denial,373,2,0.3333369925,0.0,2
denial,374,2,-0.5367774908333334,0.8333333333333333,2
denial,375,2,-0.7287905299999999,1.0,2
denial,376,2,-0.3967650833333333,0.3333333333333333,2
denial,377,2,-0.7201342875,1.0,2
denial,378,2,-0.42715742999999995,0.5,1
denial,379,2,-0.46513450933333333,0.6666666666666666,2
denial,380,2,-0.6866112566666667,0.8333333333333333,2
denial,381,2,-0.37796800875000003,0.5,2
denial,382,2,-0.498689505,0.5,2
denial,384,2,-0.057873207750000016,0.25,2
denial,385,2,-0.7949855175,1.0,2
denial,387,2,-0.4008425,0.75,2
denial,388,2,-0.47643450499999995,0.5,2
denial,390,2,0.2051036125,0.25,2
denial,392,2,0.14309749749999998,0.25,2
denial,393,2,0.052800366875000004,0.0,2
denial,394,2,-0.32422631125,0.25,2
denial,396,2,-0.5546351147142857,0.7857142857142857,2
denial,397,2,-0.484400086,0.5,2
denial,398,2,-0.276498075,0.25,2
denial,399,2,0.8055802000000001,0.0,2
denial,400,2,-0.48334313500000003,0.8333333333333333,2
denial,401,2,-0.41046255666666664,0.5833333333333333,2
denial,402,2,-0.340895885,0.75,2
denial,403,2,-0.6259935433333333,0.75,2
denial,404,2,-0.566541395,0.5,2
denial,407,2,-0.5509748674999999,0.5833333333333333,2
denial,408,2,-0.58720359425,0.75,2
denial,409,2,-0.575084505,0.75,2
denial,411,2,-0.07512463750000001,0.5,2
denial,412,2,0.1276790285,0.25,2
denial,413,2,0.17834659249999996,0.25,2
denial,414,2,-0.2988607875,0.5,2
denial,415,2,-0.46050889125,0.375,2
denial,416,2,-0.81612609,1.0,2
denial,417,2,-0.15701828600000003,0.25,2
denial,418,2,-0.2690256336666667,0.16666666666666666,2
denial,419,2,-0.62399094,1.0,2
denial,420,2,-0.38867879716666665,0.41666666666666663,2
denial,422,2,-0.08985439550000002,0.25,2
denial,424,2,-0.3366924625,0.6666666666666666,2
denial,425,2,0.24869648166666664,0.16666666666666666,2
denial,426,2,-0.17665585166666664,0.0,2
denial,427,2,-0.8006610283333333,1.0,2
denial,428,2,-0.476805641,0.75,2
denial,430,2,0.21057876875000003,0.25,2
denial,431,2,-0.07953997549999997,0.25,2
denial,432,2,0.0874918675,0.29166666666666663,2
denial,433,2,-0.25498640650000004,0.25,2
denial,434,2,-0.1751757425,0.5,2
denial,435,2,-0.03553157499999998,0.5,2
denial,437,2,-0.4004988875,0.75,2
denial,438,2,-0.42052987166666667,0.6666666666666666,2
denial,440,2,-0.650987168,0.7,2
denial,441,2,0.0887462725,0.25,2
denial,442,2,0.56809976375,0.0,2
denial,445,2,-0.03684434319999999,0.2,2
denial,446,2,-0.383067339,0.5,2
denial,447,2,-0.06131594000000001,0.5,2
denial,449,2,-0.30460227233333337,0.3333333333333333,2
denial,451,2,0.35384493499999997,0.25,2
denial,452,2,-0.7745603366666667,1.0,2
denial,454,2,-0.7505388675,1.0,2
denial,455,2,0.30944746240000004,0.1,2
denial,456,2,-0.5923017125000001,0.75,2
denial,457,2,-0.46899447250000004,0.4166666666666667,2
denial,458,2,-0.7182386266666667,1.0,2
denial,460,2,-0.5864607325,0.75,2
denial,461,2,-0.32362912333333327,0.5,2
denial,462,2,-0.72443742375,0.875,2
denial,463,2,-0.62270864,1.0,2
denial,464,2,-0.08334766675,0.0,2
denial,465,2,0.04618889649999999,0.25,2
denial,466,2,-0.6241278145,0.7857142857142857,2
denial,467,2,-0.09290054416666665,0.4166666666666667,2
denial,468,2,-0.2751022635,0.25,2
denial,470,2,-0.409580805,0.25,2
denial,471,2,0.0316727795,0.0,2
denial,472,2,-0.262397625,0.375,2
denial,474,2,-0.6874288225,0.75,2
denial,476,2,-0.21203754916666664,0.41666666666666663,2
denial,477,2,-0.33625419749999996,0.5,2
denial,478,2,0.3417252225,0.25,2
denial,479,2,-0.49555693724999994,0.75,2
denial,480,2,-0.50809214,0.6666666666666666,2
denial,481,2,0.03596412249999997,0.25,2
denial,482,2,-0.24837499258333331,0.16666666666666666,2
denial,483,2,-0.5319628925,0.75,2
denial,484,2,-0.49622885875,0.75,2
denial,485,2,-0.24122805000000003,0.25,2
denial,486,2,-0.57224809075,0.75,2
denial,489,2,0.04322232283333333,0.0,2
denial,491,2,-0.4630557675,0.75,2
denial,492,2,-0.53877445,1.0,2
denial,494,2,-0.22221589675,0.41666666666666663,2
denial,495,2,-0.40698884750000003,0.5416666666666666,2
denial,496,2,-0.8152449749999999,1.0,2
denial,497,2,-0.6542948375,0.875,2
denial,498,2,-0.38486042,0.5,2
denial,500,2,-0.33505222749999997,0.25,2
denial,502,2,0.10992666499999998,0.5,2
denial,504,2,0.42526864999999997,0.0,1
denial,505,2,0.49951851249999996,0.0,2
denial,506,2,-0.601335399,0.75,2
denial,507,2,0.3785938555,0.0,2
denial,509,2,-0.6732450083333333,1.0,2
denial,510,2,-0.2025366766666667,0.5,2
denial,511,2,-0.15204723833333333,0.5833333333333333,2
denial,512,2,-0.7233105291666666,1.0,2
denial,513,2,-0.12709688383333337,0.5,2
denial,514,2,-0.20164712999999998,0.0,2
denial,516,2,0.028610860000000016,0.5,2
denial,517,2,-0.0112656525,0.0,2
denial,518,2,-0.10639671749999999,0.0,2
denial,519,2,-0.026032699999999964,0.5,1
denial,520,2,0.01736038750000002,0.5,2
denial,521,2,-0.25118925,0.5,2
denial,522,2,-0.5917740925,0.5,2
