in_degree,out_degree,pagerank,betweenness,eigenvector,closeness,influence_composite,author,camp,activity
3,0,0.00046143556581046614,0.0,2.964946187009059e-18,0.0,0.015588228939796552,@voltrevolt8731,science,1
0,2,0.00024966984898537066,0.0,2.754870394457631e-19,0.0,0.0,@2Madre,science,2
2,0,0.00046143556581046614,0.0,1.5322701594340729e-18,0.0,0.013588228939796552,@fatcat8dog,science,1
0,2,0.00024966984898537066,0.0,-2.945652312250472e-18,0.0,0.0,@2Oldcoots,science,2
5,0,0.0006732012826355617,0.0,-8.252879110328995e-18,0.0,0.02917645787959311,Tom Nelson,science,0
0,2,0.00024966984898537066,0.0,4.185972364736303e-18,0.0,0.0,@2bfrank657,science,2
4,0,0.0006732012826355617,0.0,-3.536770267090595e-19,0.0,0.027176457879593108,@puckelberry,science,2
0,2,0.00024966984898537066,0.0,1.836798652997021e-18,0.0,0.0,@2kmichaeljordan438,science,2
4,0,0.0005461418525405043,0.0,-9.824877158401005e-19,0.0,0.021423520515715173,@roompa2271,science,1
0,4,0.00024966984898537066,0.0,-9.311029525277309e-20,0.0,0.0,@4321eyeseeyou,science,4
26,0,0.0025819247010991707,0.0,-2.914849370507499e-17,0.0,0.15759874281486347,The Heartland Institute,science,0
0,2,0.00024966984898537066,0.0,4.181628403139665e-19,0.0,0.0,@55Quirll,science,2
2,0,0.00046143556581046614,0.0,5.672286710979332e-19,0.0,0.013588228939796552,@jeffb4612,science,1
0,8,0.00024966984898537066,0.0,-8.957784013362905e-19,0.0,0.0,@64jcl,science,8
24,0,0.0013084984331108481,0.0,-1.5663778214540676e-17,0.0,0.09594114469898277,University of California Television (UCTV),science,0
0,2,0.00024966984898537066,0.0,-2.641455159950923e-18,0.0,0.0,@AGWUK,science,3
2,0,0.00046143556581046614,0.0,-5.889535282467949e-19,0.0,0.013588228939796552,@thesoundsmith,science,2
0,2,0.00024966984898537066,0.0,1.1994112006048283e-18,0.0,0.0,@AJDOLDCHANNELARCHIVE,science,2
2,0,0.00046143556581046614,0.0,7.930277999828093e-18,0.0,0.013588228939796552,@JDCypr3ss,science,1
0,2,0.00024966984898537066,0.0,1.2117903991880475e-18,0.0,0.0,@ARLGD,science,3
2,0,0.00046143556581046614,0.0,7.028167672402499e-18,0.0,0.013588228939796552,@Rogar0,science,1
0,2,0.00024966984898537066,0.0,2.9880739155201707e-18,0.0,0.0,@AVToth,science,2
2,0,0.00046143556581046614,0.0,-3.4338951031537685e-19,0.0,0.013588228939796552,@gerhardstrauss723,science,1
0,2,0.00024966984898537066,0.0,-1.853036544060483e-18,0.0,0.0,@AbhiKumar-p4d1y,science,3
8,0,0.0014584975241811852,0.0,-2.7819265787556966e-17,0.0,0.07073273328804444,DW Documentary,science,0
2,3,0.00046143556581046614,0.0,-2.840605161816689e-19,0.0,0.013588228939796552,@AdnanKhan-vr4nd,science,3
3,0,0.0006423179697581825,0.0,1.5430330528754917e-18,0.0,0.02377813770422567,Shekhar,science,0
0,2,0.00024966984898537066,0.0,2.1086142790852092e-18,0.0,0.0,@Adodang,science,2
2,0,0.00046143556581046614,0.0,7.601704646377177e-19,0.0,0.013588228939796552,@Johan-kk1sh,science,1
0,2,0.00024966984898537066,0.0,-9.275721071305582e-19,0.0,0.0,@AfterTheIce-q4j,science,3
2,0,0.00046143556581046614,0.0,3.777335205286397e-18,0.0,0.013588228939796552,@jaredmatthews252,science,1
0,2,0.00024966984898537066,0.0,-7.923553430890042e-19,0.0,0.0,@Aizensosukke,science,2
2,0,0.00046143556581046614,0.0,1.1625181579839273e-18,0.0,0.013588228939796552,@germanyoutubedeutschland9899,science,1
0,2,0.00024966984898537066,0.0,-3.600582783305517e-18,0.0,0.0,@Alex-fu3mi,science,2
